"gisid","1_1","1_2","1_3","2_1","2_2","2_3"
"595733.470014916_6122334.37481838",0,0,0,0,1,0
"590950.672928798_6123144.89590065",0,0,0,0,0,1
"591395.231540903_6123154.05141478",0,0,0,0,0,0
"595937.355401499_6121723.42059855",0,0,0,0,0,1
"591585.572429652_6123166.88704136",0,0,0,0,0,0
"594722.513530643_6122061.14881621",0,0,0,0,0,0
"595215.064978892_6122471.53065294",1,0,0,0,0,0
"211900.567222155_6130287.66013387",0,0,0,0,0,0
"212091.066254871_6129875.75830378",0,0,0,0,0,0
"600067.149180082_6116161.73999752",0,0,0,0,1,0
"212100.777223936_6130073.75308261",0,0,0,0,0,0
"600058.169772398_6116559.92067585",0,0,0,0,1,1
"593188.942176642_6122093.15359309",0,1,0,0,0,1
"593377.491937921_6122087.55544253",0,1,0,1,1,0
"599162.961677342_6116752.36656944",1,0,1,0,1,0
"600634.920819426_6116382.67480472",1,1,1,1,1,0
"593821.06345585_6121683.65068523",1,0,1,1,1,1
"599974.473322674_6118025.71003615",0,0,0,1,1,0
"598925.373565697_6119016.05257914",0,0,0,0,0,0
"598344.554047331_6119223.46288963",0,0,0,0,0,0
"595772.715030006_6123689.80958151",0,0,0,0,0,0
"596110.808958211_6123711.15904137",0,0,0,0,1,0
"595855.187766786_6123891.78420424",0,0,0,0,0,0
"597793.727488045_6124474.56748122",1,0,0,1,1,0
"593686.162156257_6122982.72612241",0,0,0,0,0,0
"591973.756767636_6121356.3706853",0,0,0,0,0,0
"594796.718417553_6124857.01900334",0,0,0,0,0,0
"593872.733245709_6123173.62249497",0,1,1,0,0,1
"594180.115799251_6125030.79647061",0,0,1,0,0,0
"596289.553513752_6123064.17649155",0,0,1,0,0,0
"596611.582659639_6124717.00506871",0,0,0,0,0,0
"592832.554765563_6121267.79475823",0,0,0,0,0,0
"593213.697998941_6121279.13676218",0,0,0,0,0,0
"593955.921111898_6118895.59631426",0,0,0,0,0,0
"593784.528038683_6121337.92110346",0,0,0,0,0,0
"593063.566820651_6119514.04696775",0,0,0,0,0,0
"592773.864023687_6121035.11275224",0,0,1,0,0,0
"592587.779795693_6120814.23348705",0,0,0,0,0,0
"592968.448572457_6120850.02382723",0,0,0,0,0,0
"596174.432058314_6124659.85453775",0,0,0,0,0,0
"596114.449371039_6122349.30418728",1,0,1,0,0,0
"594920.452623124_6121721.54081045",0,0,0,0,0,0
"593401.391188517_6121689.58063212",1,1,1,0,1,1
"600248.479725011_6116586.47263166",0,0,1,0,0,0
"593836.788119187_6122171.37351151",1,1,1,1,0,0
"598172.597410956_6118372.81739611",0,0,0,0,0,0
"598168.090948956_6118576.35826154",0,0,0,0,0,0
"596297.899280955_6122680.4478124",1,1,1,0,0,1
"596527.864175829_6122468.01712647",1,0,1,0,1,1
"596441.286646247_6123726.2481323",0,0,0,0,0,1
"593347.329814322_6123984.84317084",0,0,0,0,0,0
"593969.305546948_6125267.89604186",0,0,0,0,1,0
"594372.576316015_6125253.0009085",0,0,1,1,0,1
"593756.660493907_6119019.23351935",0,0,0,0,0,0
"591919.044571051_6120427.31687071",0,0,0,0,0,0
"591149.143831594_6122762.8560051",0,0,0,0,0,0
"594718.27893845_6122259.13117818",0,0,0,0,0,0
"591335.371688512_6122975.88963331",0,0,0,0,0,0
"599225.796163954_6117587.36744612",1,0,1,1,0,1
"599440.763995966_6117417.47239562",1,0,1,1,1,1
"596479.260373709_6123106.14129658",0,0,0,1,1,0
"592313.665610734_6121991.58841153",0,0,0,0,0,0
"591589.852348051_6122960.00473164",0,0,0,0,0,0
"590954.946007109_6122936.90100413",0,0,0,0,0,0
"595933.139284496_6121918.06548906",1,0,0,0,0,0
"595218.421690837_6121872.04059267",0,0,0,0,0,0
"591327.225587534_6123370.74596049",0,0,0,0,0,0
"594979.330723331_6121939.79330082",1,0,0,0,1,0
"594911.275331714_6122149.76074793",1,0,0,0,0,0
"596183.646830369_6122089.30309266",0,0,1,1,0,0
"591323.07208698_6123572.06715717",0,0,0,0,0,0
"594727.104866092_6121846.48260858",0,0,0,0,0,0
"596373.29995393_6122135.71188556",1,0,1,1,1,0
"211894.47170026_6129900.84391147",1,0,1,0,0,0
"599880.775349002_6115959.46265648",1,0,0,0,1,1
"599851.515782821_6117604.19202051",0,1,0,0,0,1
"593400.117083217_6121885.62176447",0,1,0,0,0,0
"593407.514731029_6121495.64478366",0,0,0,0,0,0
"600258.004003164_6116164.93519141",0,0,0,1,0,0
"599565.38123155_6117985.23673141",1,1,1,0,0,0
"593601.363194456_6121902.22199574",0,0,0,1,1,1
"600444.301687772_6116369.45317801",1,0,1,1,1,0
"596563.967949099_6122135.41412395",0,0,0,0,0,0
"598539.701372017_6119027.49353359",0,0,0,0,0,0
"601949.880152481_6117317.41515974",0,0,0,0,0,0
"599551.919259136_6116492.89291673",0,0,0,0,0,0
"599301.511456258_6116390.3570597",0,0,1,1,1,1
"599319.664923862_6116179.22087833",0,1,0,0,0,0
"595662.499950342_6122677.80210772",0,1,1,1,0,0
"597981.437410327_6125349.15245053",1,1,0,1,0,0
"596483.332504669_6122919.28216938",0,1,1,0,1,0
"597706.373771198_6125084.89937783",1,1,0,0,0,0
