"","gisid","occupancy","year_id","visit_num","offset","year","surveyid","duration","Easting","Northing","date_time","Area_sqm","NEAR_DIST","survey_yea","focal_patch_size","habitat_amount","num_patches","mean_patch_size","max_patch_size","total_edge","edge_density","prop_habitat","dist_to_habitat","full_patch_area","patch_density","hypothesis","survey_year","julian_date","time_of_day","prop_habitat_std","edge_density_std","julian_date_std","time_of_day_std"
"1","595733.470014916_6122334.37481838",0,1,1,0.481095513,2010,138404,"300",595733.47,6122334.375,2010-05-31 05:02:00,2766209.59953,0,2010,417223.108417564,658184.097885167,4,164546.024471292,417223.108417564,8848.81669106832,0.0134442881854799,0.838026021143233,0,2766209.59953,5.09295817894065,3,"2010",151,5.03333333333333,1.14971382586133,-0.583936300380487,-1.07616040709734,-0.769486443170915
"2","595733.470014916_6122334.37481838",0,1,2,0.481095513,2010,138405,"300",595733.47,6122334.375,2010-06-06 08:56:00,2766209.59953,0,2010,417223.108417564,658184.097885167,4,164546.024471292,417223.108417564,8848.81669106832,0.0134442881854799,0.838026021143233,0,2766209.59953,5.09295817894065,3,"2010",157,8.93333333333333,1.14971382586133,-0.583936300380487,-0.604595819904565,1.96562686217988
"3","595733.470014916_6122334.37481838",0,1,3,0.481095513,2010,138407,"300",595733.47,6122334.375,2010-06-17 09:37:00,2766209.59953,0,2010,417223.108417564,658184.097885167,4,164546.024471292,417223.108417564,8848.81669106832,0.0134442881854799,0.838026021143233,0,2766209.59953,5.09295817894065,3,"2010",168,9.61666666666667,1.14971382586133,-0.583936300380487,0.259939256615523,2.44485611653622
"4","595733.470014916_6122334.37481838",0,2,1,0.481095513,2016,138422,"300",595733.47,6122334.375,2016-05-31 05:04:00,3069281.42098,0,2016,389995.570875979,613874.381350298,3,204624.793783433,389995.570875979,10522.6151598911,0.0171413166595179,0.781609137835033,0,3069281.42098,3.81971863420549,3,"2016",152,5.06666666666667,0.931313877727918,-0.323632055153577,-0.997566309231878,-0.746109406373045
"5","595733.470014916_6122334.37481838",1,2,2,0.481095513,2016,138423,"300",595733.47,6122334.375,2016-06-22 09:50:00,3069281.42098,0,2016,389995.570875979,613874.381350298,3,204624.793783433,389995.570875979,10522.6151598911,0.0171413166595179,0.781609137835033,0,3069281.42098,3.81971863420549,3,"2016",174,9.83333333333333,0.931313877727918,-0.323632055153577,0.731503843808298,2.59680685572237
"6","595733.470014916_6122334.37481838",0,2,3,0.481095513,2016,138424,"300",595733.47,6122334.375,2016-06-27 05:42:00,3069281.42098,0,2016,389995.570875979,613874.381350298,3,204624.793783433,389995.570875979,10522.6151598911,0.0171413166595179,0.781609137835033,0,3069281.42098,3.81971863420549,3,"2016",179,5.7,0.931313877727918,-0.323632055153577,1.12447433313561,-0.301945707213514
"7","590950.672928798_6123144.89590065",0,1,1,0.473741074,2010,148288,"300",590950.6729,6123144.896,2010-05-31 06:14:00,230693.850128,0,2010,230693.850127674,517524.203882174,9,57502.6893202416,230693.850127674,9877.16803331183,0.0190854223999939,0.658932281740367,0,230693.850128,11.4591559026165,3,"2010",151,6.23333333333333,0.456409603738158,-0.186749426044921,-1.07616040709734,0.0720868815524065
"8","590950.672928798_6123144.89590065",0,1,2,0.473741074,2010,148291,"300",590950.6729,6123144.896,2010-06-17 06:44:00,230693.850128,0,2010,230693.850127674,517524.203882174,9,57502.6893202416,230693.850127674,9877.16803331183,0.0190854223999939,0.658932281740367,0,230693.850128,11.4591559026165,3,"2010",168,6.73333333333333,0.456409603738158,-0.186749426044921,0.259939256615523,0.422742433520457
"9","590950.672928798_6123144.89590065",0,1,3,0.473741074,2010,148292,"300",590950.6729,6123144.896,2010-06-23 08:06:00,230693.850128,0,2010,230693.850127674,517524.203882174,9,57502.6893202416,230693.850127674,9877.16803331183,0.0190854223999939,0.658932281740367,0,230693.850128,11.4591559026165,3,"2010",174,8.1,0.456409603738158,-0.186749426044921,0.731503843808298,1.38120094223313
"10","590950.672928798_6123144.89590065",0,2,1,0.473741074,2012,148298,"300",590950.6729,6123144.896,2012-05-25 09:21:00,218755.962849,0,2012,218755.962849274,516902.5616602,10,51690.25616602,218755.962849274,10002.1529858629,0.0193501710530079,0.658140782280673,0,218755.962849,12.7323954473516,3,"2012",146,9.35,0.453345566329347,-0.168108726147254,-1.46913089642465,2.25783982215326
