"","surveyid","BTNW","offset","project_id","location","gisid","source","organization","sensor","buffer","latitude","longitude","year","project","topsecret","useNorth","useSouth","Easting","Northing","date_time","task_method","duration","distance","BTNW_binary","year_id","visit_num","visit_id"
"1",138404,0,0.481095513,1409,"CL-C1002-11","595733.470014916_6122334.37481838","WildTrax","BU","PC",NA,55.26023,-113.493,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,FALSE,595733.47,6122334.375,"2010-05-31 5:02","PC",300,Inf,0,1,1,"1_1"
"2",148288,0,0.473741074,1409,"CL-F1001-13","590950.672928798_6123144.89590065","WildTrax","BU","PC",NA,55.26842,-113.568,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,FALSE,590950.6729,6123144.896,"2010-05-31 6:14","PC",300,Inf,0,1,1,"1_1"
"3",149050,0,0.473741074,1409,"CL-F1001-33","591395.231540903_6123154.05141478","WildTrax","BU","PC",NA,55.26842,-113.561,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,FALSE,591395.2315,6123154.051,"2010-05-31 6:42","PC",300,Inf,0,1,1,"1_1"
"4",139090,0,0.481095513,1409,"CL-C1002-24","595937.355401499_6121723.42059855","WildTrax","BU","PC",NA,55.2547,-113.49,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,FALSE,595937.3554,6121723.421,"2010-05-31 6:45","PC",300,Inf,0,1,1,"1_1"
"5",149435,0,0.473741074,1409,"CL-F1001-43","591585.572429652_6123166.88704136","WildTrax","BU","PC",NA,55.2685,-113.558,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,FALSE,591585.5724,6123166.887,"2010-05-31 6:52","PC",300,Inf,0,1,1,"1_1"
"6",137172,0,0.470063855,1409,"CL-C1001-23","594722.513530643_6122061.14881621","WildTrax","BU","PC",NA,55.25797,-113.509,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,FALSE,594722.5135,6122061.149,"2010-05-31 7:19","PC",300,Inf,0,1,1,"1_1"
"7",137933,1,0.470063855,1409,"CL-C1001-41","595215.064978892_6122471.53065294","WildTrax","BU","PC",NA,55.261563,-113.501111,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,FALSE,595215.065,6122471.531,"2010-05-31 8:28","PC",300,Inf,1,1,1,"1_1"
"8",150110,0,0.149443654,1409,"CL-F1002-12","211900.567222155_6130287.66013387","WildTrax","BU","PC",NA,55.25671,-119.53623,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,TRUE,211900.5672,6130287.66,"2010-06-01 5:18","PC",300,Inf,0,1,1,"1_1"
"9",150693,0,0.149443654,1409,"CL-F1002-24","212091.066254871_6129875.75830378","WildTrax","BU","PC",NA,55.25313,-119.53282,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,TRUE,212091.0663,6129875.758,"2010-06-01 6:00","PC",300,Inf,0,1,1,"1_1"
"10",152551,0,0.462709416,1409,"CL-F1003-23","600067.149180082_6116161.73999752","WildTrax","BU","PC",NA,55.2039,-113.427,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,FALSE,600067.1492,6116161.74,"2010-06-01 6:00","PC",300,Inf,0,1,1,"1_1"
"11",150596,0,0.149443654,1409,"CL-F1002-23","212100.777223936_6130073.75308261","WildTrax","BU","PC",NA,55.25491,-119.53287,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,TRUE,212100.7772,6130073.753,"2010-06-01 6:11","PC",300,Inf,0,1,1,"1_1"
"12",152355,0,0.462709416,1409,"CL-F1003-21","600058.169772398_6116559.92067585","WildTrax","BU","PC",NA,55.20748,-113.427,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,FALSE,600058.1698,6116559.921,"2010-06-01 6:23","PC",300,Inf,0,1,1,"1_1"
"13",150402,0,0.462709416,1409,"CL-F1002-21","593188.942176642_6122093.15359309","WildTrax","BU","PC",NA,55.25855,-113.53312,2010,"Calling Lake Fragmentation Experiment Private",0,TRUE,FALSE,593188.9422,6122093.154,"2010-06-01 6:34","PC",300,Inf,0,1,1,"1_1"
